District code,Population,Housholds_with_Electric_Lighting,Households_with_Internet,State,District,Latitude,Longitude,sex ratio,Literacy Rate
239,1125313,27641,1106,Bihar,Jehanabad,25.155679045643165,84.9208124481328,92.0,55.0
245,49977,8635,96,Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,71.0,52.0
246,83947,14188,202,Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,82.0,58.0
247,78690,5318,57,Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,103.0,49.0
248,176573,30539,2477,Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,98.0,69.0
249,83448,5373,139,Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,100.0,54.0
250,112274,14204,303,Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,93.0,58.0
251,99214,14231,450,Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,98.0,63.0
252,35320,6198,97,Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,89.0,52.0
253,148226,14593,170,Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,93.0,49.0
254,111975,16026,98,Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,94.0,43.0
255,83030,12493,381,Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,98.0,65.0
256,92076,3911,95,Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,103.0,40.0
258,54080,5932,207,Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,93.0,59.0
259,145726,17157,312,Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,91.0,57.0
261,250260,14398,178,Nagaland,Mon,26.69207374301676,95.03072988826828,90.0,48.0
262,194622,40154,537,Nagaland,Mokokchung,26.478911764705888,94.522426006192,93.0,82.0
263,140757,28846,261,Nagaland,Zunheboto,26.028178205128206,94.50026666666668,98.0,73.0
264,166343,25268,198,Nagaland,Wokha,26.202611551155112,94.1990815181518,97.0,77.0
265,378811,71413,3303,Nagaland,Dimapur,25.814176811594223,93.75074057971014,92.0,73.0
266,163418,36182,170,Nagaland,Phek,25.63272986577182,94.56814563758392,95.0,65.0
267,196596,24998,155,Nagaland,Tuensang,26.21104453280316,94.85809880715708,93.0,60.0
270,267988,50724,1928,Nagaland,Kohima,25.60311428571428,93.78600657596373,93.0,74.0
272,479148,22798,256,Manipur,Senapati,25.08465586034914,94.03366234413956,94.0,55.0
273,140651,11541,125,Manipur,Tamenglong,24.98312942238265,93.49450740072204,94.0,60.0
274,274143,29894,837,Manipur,Churachandpur,24.30309718875504,93.38671506024085,97.0,71.0
275,237399,34364,676,Manipur,Bishnupur,24.50712111801243,93.8246236024845,100.0,66.0
276,422168,49507,880,Manipur,Thoubal,24.545392553191498,93.97959893617023,100.0,64.0
279,183998,14026,276,Manipur,Ukhrul,25.05900314960629,94.44129566929138,94.0,71.0
280,144182,18764,184,Manipur,Chandel,24.2635812987013,94.09443844155844,93.0,63.0
281,86364,12158,90,Mizoram,Mamit,23.73852942502819,92.4330803833147,93.0,70.0
282,83955,14853,367,Mizoram,Kolasib,24.2020004347826,92.73470391304348,96.0,78.0
283,400309,79804,4019,Mizoram,Aizawl,23.90781335453101,92.85359459459472,101.0,85.0
284,125745,23948,186,Mizoram,Champhai,23.54166580976866,93.24221799485862,98.0,80.0
285,64937,12315,131,Mizoram,Serchhip,23.263864705882344,92.914158496732,98.0,84.0
286,161428,26394,482,Mizoram,Lunglei,23.007717036172675,92.63512555425892,95.0,75.0
287,117894,9283,162,Mizoram,Lawngtlai,22.36102843137253,92.66964156862753,95.0,53.0
288,56574,7400,168,Mizoram,Saiha,22.35744801061008,93.02827931034489,98.0,75.0
289,1725739,314567,6394,Tripura,West Tripura,23.780166241299337,91.41310788863107,96.0,79.0
290,876001,133744,948,Tripura,South Tripura,23.211874098057383,91.6065807585568,96.0,74.0
291,378230,46875,273,Tripura,Dhalai,23.781360477941163,91.94654283088232,94.0,73.0
292,693947,81601,997,Tripura,North Tripura,24.121739755351683,92.17842538226292,97.0,75.0
293,643291,51301,1630,Meghalaya,West Garo Hills,25.495285185185185,90.03709947089942,98.0,56.0
294,317917,24550,288,Meghalaya,East Garo Hills,25.82728228228228,90.64684924924916,97.0,60.0
295,142334,10940,179,Meghalaya,South Garo Hills,25.240568578553614,90.64560349127176,95.0,58.0
296,383461,32873,149,Meghalaya,West Khasi Hills,25.500889926739926,91.25364542124538,98.0,60.0
298,825922,135941,5032,Meghalaya,East Khasi Hills,25.303763888888884,91.75922519841272,101.0,70.0
299,395124,41677,510,Meghalaya,Jaintia Hills,25.33959557069844,92.37608160136298,101.0,47.0
300,887142,41373,1218,Assam,Kokrajhar,26.497246635730868,90.13997470997688,96.0,55.0
302,1008183,78641,1364,Assam,Goalpara,26.017277777777807,90.59869891598912,96.0,56.0
303,1693622,84804,2078,Assam,Barpeta,26.427872264631056,90.97912010178116,95.0,53.0
305,2823768,195631,5121,Assam,Nagaon,26.26462170626351,92.9306191144708,96.0,61.0
306,1924110,133368,4358,Assam,Sonitpur,26.73514926829268,92.85197804878044,96.0,58.0
307,1042137,60296,1948,Assam,Lakhimpur,27.14128805970149,94.0775949253732,97.0,66.0
308,686133,28195,1192,Assam,Dhemaji,27.586533438485816,94.71336908517353,95.0,62.0
309,1327929,161718,5135,Assam,Tinsukia,27.53549291139241,95.69055949367085,95.0,60.0
310,1326335,136685,8817,Assam,Dibrugarh,27.30612284482757,95.0998282327587,96.0,67.0
312,1092256,122063,5651,Assam,Jorhat,26.76244824016563,94.30197722567289,96.0,73.0
313,1066888,82345,3073,Assam,Golaghat,26.377219709794485,93.82583397823468,96.0,68.0
314,956313,53918,1923,Assam,Karbi Anglong,26.08966454598031,93.11536570271832,95.0,58.0
316,1736617,140205,5316,Assam,Cachar,24.815570668693017,92.86849650455927,96.0,68.0
317,1228686,70951,1933,Assam,Karimganj,24.69660712250711,92.3679498575498,96.0,65.0
318,659296,44143,1211,Assam,Hailakandi,24.457496089385486,92.59154664804475,95.0,62.0
319,738804,49866,2523,Assam,Bongaigaon,26.45012521994133,90.6734296187684,97.0,59.0
321,1517542,122191,3109,Assam,Kamrup,26.170939452054807,91.58863273972592,95.0,66.0
323,771639,68313,1631,Assam,Nalbari,26.46323767605632,91.40598521126763,95.0,69.0
325,928500,45444,1166,Assam,Darrang,26.58463215962442,92.04141338028155,95.0,52.0
327,1846823,297176,10943,West Bengal,Darjiling,26.839619571045585,88.33145067024122,97.0,71.0
328,3872846,382500,9322,West Bengal,Jalpaiguri,26.62642031250004,89.04154375000003,95.0,65.0
330,3007134,199307,2883,West Bengal,Uttar Dinajpur,26.044619165196977,88.23595232216337,94.0,50.0
331,1676276,168069,2518,West Bengal,Dakshin Dinajpur,25.342094363021435,88.69821679819614,96.0,65.0
332,3988845,297716,5357,West Bengal,Maldah,25.08026802575105,88.17191684549356,94.0,52.0
333,7103807,541169,7951,West Bengal,Murshidabad,24.25950655391121,88.16816860465121,96.0,57.0
334,3502404,333752,5210,West Bengal,Birbhum,24.06389342723,87.65153089201888,96.0,62.0
335,7717563,1049943,32323,West Bengal,Barddhaman,23.444453888888884,87.8150581111111,95.0,68.0
336,5167600,623729,12787,West Bengal,Nadia,23.56410971055088,88.58293034547152,95.0,67.0
338,5519145,965258,31725,West Bengal,Hugli,22.87929264705881,88.00010264705891,96.0,74.0
339,3596674,334670,4273,West Bengal,Bankura,23.081280892857155,87.12640053571437,96.0,62.0
340,2930115,189889,3551,West Bengal,Puruliya,23.254192328767108,86.3968532876713,96.0,55.0
341,4850029,796953,30751,West Bengal,Haora,22.401674174428507,87.99421176968654,94.0,74.0
342,4496694,927602,136618,West Bengal,Kolkata,22.550581481481483,88.3527648148148,91.0,80.0
346,1322784,29373,565,Jharkhand,Garhwa,24.082114689265527,83.68664265536722,94.0,49.0
347,1042886,27037,590,Jharkhand,Chatra,24.11619945750453,84.93295804701627,95.0,49.0
349,2445474,125431,1944,Jharkhand,Giridih,24.30578509874329,86.08710915619386,94.0,51.0
350,1492073,130193,1944,Jharkhand,Deoghar,24.33070100755672,86.75697632241814,93.0,53.0
351,1313551,43230,874,Jharkhand,Godda,24.8189,87.2941735483871,94.0,46.0
352,1150567,34879,591,Jharkhand,Sahibganj,24.93667989690721,87.68264097938142,95.0,42.0
353,900422,31414,328,Jharkhand,Pakur,24.57260428082189,87.69691969178076,99.0,39.0
354,2684487,427173,11568,Jharkhand,Dhanbad,23.854509090909097,86.40372924901185,91.0,64.0
355,2062330,274726,9754,Jharkhand,Bokaro,23.6814965034965,85.98398374125864,92.0,62.0
356,461790,28769,351,Jharkhand,Lohardaga,23.488796043165483,84.6605169064748,99.0,56.0
358,1939869,68238,2155,Jharkhand,Palamu,24.196925968109337,84.20310842824594,93.0,53.0
359,726978,38194,340,Jharkhand,Latehar,23.72511185840708,84.48298743362837,97.0,48.0
362,1321442,62110,1193,Jharkhand,Dumka,24.275006125574265,87.27662450229711,98.0,51.0
363,791042,49419,808,Jharkhand,Jamtara,23.97873318077801,86.95325080091534,95.0,54.0
364,2914253,350908,22538,Jharkhand,Ranchi,23.184235061391547,85.31781937244203,95.0,66.0
366,1025213,31687,831,Jharkhand,Gumla,23.078532948929148,84.55056787479396,99.0,55.0
367,599578,16865,423,Jharkhand,Simdega,22.608760391198054,84.59193691931536,100.0,57.0
371,579505,81433,2498,Orissa,Jharsuguda,21.827058566978184,83.93581682242987,95.0,70.0
372,1041099,126498,5231,Orissa,Sambalpur,21.515752380952385,84.34958483245157,98.0,68.0
374,2093437,223537,12787,Orissa,Sundargarh,22.06354819277107,84.50524819277099,97.0,64.0
376,2519738,140189,2950,Orissa,Mayurbhanj,21.897621545157754,86.4030408052231,101.0,54.0
377,2320529,296834,7370,Orissa,Baleshwar,21.48570932311624,87.08085828011933,96.0,70.0
378,1506337,164636,2637,Orissa,Bhadrak,20.95262735257214,86.81496204516931,98.0,73.0
379,1440361,173107,1628,Orissa,Kendrapara,20.606319815982264,86.83763247572003,101.0,76.0
381,2624470,349587,15046,Orissa,Cuttack,20.407640646029623,85.7776810228802,94.0,77.0
383,1192811,117172,1810,Orissa,Dhenkanal,20.79887159353349,85.53226836027711,95.0,70.0
